차아, 79, 172
아파, 67, 191
하타, 42, 170
타나, 53, 159
다다, 48, 190
가바, 60, 186
나라, 95, 182
아나, 68, 176
아바, 53, 198
나다, 65, 163
카라, 89, 185
가하, 81, 161
다자, 58, 171
라바, 55, 176
파아, 94, 196
다마, 99, 148
다라, 64, 141
다차, 51, 173
바파, 89, 175
타라, 98, 177
사타, 76, 198
다하, 92, 197
차아, 81, 179
가하, 94, 150
가하, 85, 146
라다, 88, 140
하카, 47, 170
라타, 76, 187
하하, 91, 186
나마, 87, 167
자사, 83, 146
다바, 67, 165
카바, 43, 176
다마, 74, 157
라나, 73, 185
차다, 67, 181
바차, 78, 151
하라, 61, 165
자파, 47, 199
마하, 98, 188
아라, 90, 197
다다, 83, 185
아자, 73, 147
차가, 78, 174
파마, 98, 150
자바, 51, 198
아라, 86, 191
마바, 61, 146
차타, 96, 145
사바, 56, 177
하하, 98, 166
아차, 48, 146
차사, 41, 148
카카, 64, 166
아하, 98, 181
차하, 76, 178
사차, 61, 150
타차, 99, 180
사자, 91, 159
나타, 86, 158
나나, 75, 152
가마, 53, 177
아사, 63, 162
다파, 57, 170
하카, 61, 185
아사, 54, 171
바사, 61, 185
마마, 50, 178
카사, 80, 143
가카, 46, 179
파바, 49, 168
차타, 96, 142
타하, 73, 171
사가, 53, 166
나타, 92, 188
자라, 73, 189
가아, 48, 157
다사, 48, 167
라아, 72, 168
사자, 92, 148
아마, 60, 159
아아, 93, 195
카차, 78, 155
타다, 94, 189
사가, 49, 184
하나, 60, 168
나사, 76, 183
카카, 75, 196
차사, 78, 177
타나, 45, 151
차자, 64, 195
아가, 55, 163
아마, 95, 194
카가, 94, 197
아하, 79, 172
나마, 59, 178
마사, 61, 157
라카, 70, 147
파다, 79, 175
바아, 66, 171
아하, 53, 150
차하, 94, 170
마파, 63, 141
바하, 73, 143
사가, 64, 146
나나, 44, 197
사카, 77, 145
나가, 75, 163
아하, 87, 140
카자, 40, 142
파사, 63, 172
마카, 84, 188
하가, 62, 178
파자, 48, 160
다나, 95, 157
라카, 68, 196
다다, 59, 154
자하, 83, 175
바가, 51, 164
아하, 74, 185
자차, 49, 173
차사, 60, 150
바아, 82, 152
가아, 50, 155
자바, 76, 174
자바, 71, 153
하사, 97, 199
파자, 96, 159
아카, 94, 163
차차, 50, 152
아나, 47, 147
다사, 81, 168
자나, 96, 175
차파, 46, 186
가가, 97, 145
아나, 52, 176
자나, 77, 150
차가, 64, 154
마하, 52, 154
파마, 99, 158
나나, 52, 145
아하, 53, 186
아타, 52, 183
마차, 55, 189
파하, 58, 166
라가, 81, 157
파카, 94, 157
마바, 48, 140
바바, 40, 140
자타, 81, 148
바나, 71, 144
차나, 89, 175
자마, 78, 152
라나, 88, 197
사다, 45, 177
파나, 49, 151
가다, 40, 197
파카, 75, 157
타하, 54, 149
아아, 67, 188
마카, 78, 141
라카, 51, 155
하자, 66, 198
자차, 74, 170
타아, 47, 159
자나, 75, 150
마자, 44, 188
사하, 76, 170
라하, 97, 144
파사, 56, 172
라바, 68, 168
카파, 69, 153
사하, 50, 149
타차, 99, 189
나타, 75, 193
라나, 62, 157
마마, 51, 170
마타, 59, 157
하카, 84, 159
자차, 89, 171
라카, 50, 188
다바, 42, 153
차파, 56, 149
사하, 51, 191
카라, 68, 175
마하, 80, 180
바나, 69, 172
다타, 86, 162
하파, 81, 189
다아, 83, 158
파아, 56, 148
아하, 69, 194
하다, 43, 183
타카, 81, 170
아바, 60, 140
가하, 53, 197
아다, 83, 185
자아, 94, 194
카자, 76, 161
하다, 41, 183
카바, 72, 169
카타, 43, 157
아자, 70, 156
아나, 47, 181
다바, 90, 198
가가, 60, 170
가자, 85, 174
아라, 60, 176
카타, 89, 148
가다, 44, 150
사가, 90, 164
차타, 71, 157
카가, 46, 193
자하, 75, 163
나파, 65, 182
다파, 73, 148
자가, 82, 162
파아, 95, 199
아자, 80, 199
라카, 80, 193
라다, 85, 149
타바, 77, 198
파다, 40, 186
파라, 59, 169
마파, 91, 182
아카, 57, 160
사가, 91, 196
사사, 83, 177
카파, 90, 189
가카, 43, 181
타타, 89, 176
자카, 78, 166
사차, 68, 180
타아, 81, 157
다사, 90, 195
라가, 61, 166
사나, 85, 149
마자, 56, 173
파바, 83, 176
가다, 46, 192
사가, 87, 158
라바, 99, 183
다차, 54, 158
하나, 58, 174
파사, 43, 194
자마, 91, 166
라마, 68, 185
다사, 54, 186
하하, 64, 156
하가, 68, 185
마자, 62, 157
차가, 64, 146
파아, 67, 177
타마, 75, 162
가사, 47, 193
라자, 43, 176
차가, 45, 161
마가, 91, 194
가차, 51, 169
자타, 67, 199
다카, 56, 146
가파, 64, 140
다나, 59, 191
파차, 88, 155
다타, 62, 188
차차, 89, 156
다나, 69, 179
차타, 94, 162
자마, 49, 148
카라, 81, 191
하카, 54, 192
파라, 52, 156
바사, 51, 187
자하, 58, 183
하사, 99, 173
아가, 46, 157
차하, 61, 183
차가, 63, 146
타바, 95, 156
차가, 99, 180
사차, 45, 197
카바, 53, 152
자카, 88, 144
자자, 86, 166
아자, 69, 181
파아, 80, 175
가아, 46, 152
타바, 54, 180
마다, 40, 178
가라, 96, 168
마파, 86, 177
바차, 54, 163
자하, 43, 167
아가, 92, 152
파자, 77, 146
파다, 99, 158
나나, 48, 150
하자, 85, 155
차나, 95, 186
가카, 85, 164
라타, 65, 152
사나, 69, 153
파다, 47, 150
가사, 91, 169
라사, 43, 148
카나, 91, 185
차카, 89, 179
라카, 57, 178
타차, 71, 140
바가, 78, 168
자차, 55, 169
바차, 82, 190
자타, 56, 147
하타, 57, 154
나라, 45, 164
아카, 52, 184
카차, 93, 192
타자, 73, 197
가다, 74, 169
카사, 65, 164
카자, 69, 172
파차, 69, 165
나아, 86, 189
가라, 90, 164
파아, 71, 140
하바, 98, 198
아자, 53, 192
자타, 94, 150
파바, 70, 191
자아, 55, 140
가자, 41, 152
카라, 50, 184
마카, 88, 178
하사, 94, 170
자카, 94, 186
가카, 62, 188
파나, 57, 189
마타, 42, 144
하카, 77, 153
라나, 50, 183
다하, 87, 199
가하, 57, 157
아마, 84, 140
바라, 95, 152
아라, 92, 143
카라, 76, 183
마라, 75, 167
가카, 84, 179
차바, 84, 170
차라, 43, 168
다자, 93, 191
바다, 65, 164
나하, 91, 151
파마, 45, 159
라타, 66, 155
다자, 53, 174
가차, 98, 180
가타, 52, 167
하하, 82, 140
하차, 53, 187
카다, 81, 156
나라, 60, 173
자바, 97, 185
카파, 50, 144
나하, 73, 167
차다, 69, 169
카나, 44, 158
가나, 80, 180
다라, 65, 167
마하, 76, 162
마카, 46, 198
나아, 54, 198
라가, 48, 193
마다, 51, 176
아타, 57, 161
아하, 64, 179
라라, 98, 152
라가, 74, 177
마타, 48, 144
라카, 83, 156
사타, 68, 145
카카, 42, 198
사사, 83, 160
차마, 77, 159
카카, 74, 167
하카, 66, 150
바라, 93, 166
아바, 75, 180
타타, 60, 175
자다, 84, 181
가마, 95, 193
바가, 44, 149
파가, 60, 179
라자, 47, 168
사파, 44, 152
나타, 82, 164
차나, 69, 187
차바, 67, 168
타사, 50, 141
다카, 64, 173
가파, 67, 159
가나, 64, 191
하타, 83, 194
파바, 99, 159
나사, 43, 170
차아, 67, 170
차파, 98, 143
차가, 99, 176
마아, 43, 181
파마, 76, 154
아라, 54, 141
사자, 73, 145
카라, 77, 163
카파, 86, 195
라라, 91, 197
타바, 64, 163
사파, 75, 177
아가, 47, 142
다다, 98, 159
바가, 49, 199
라가, 73, 149
차차, 60, 145
가마, 79, 191
타차, 40, 180
사아, 66, 177
자사, 82, 150
바나, 41, 184
가사, 66, 190
차타, 75, 171
라카, 95, 199
사라, 61, 187
사가, 48, 186
마다, 77, 161
나라, 89, 169
바파, 58, 196
카자, 82, 141
차자, 61, 145
하하, 93, 143
아카, 73, 157
가하, 93, 188
차바, 85, 155
자다, 49, 188
카마, 93, 164
나타, 87, 171
차아, 84, 194
가다, 76, 173
아차, 76, 198
가차, 63, 199
카카, 60, 174
바사, 43, 173
나라, 84, 158
카하, 95, 144
바다, 78, 152
가라, 90, 186
아카, 40, 149
타하, 91, 194
나사, 77, 142
마차, 68, 179
자자, 50, 167
마마, 86, 180
차다, 81, 190
파라, 75, 157
마자, 65, 167
카자, 96, 192
차다, 64, 183
자하, 71, 192
다카, 58, 187
다나, 53, 191
다파, 58, 146
아자, 56, 148
사사, 96, 147
라타, 78, 185
자다, 70, 181
하마, 53, 199
나차, 89, 166
마나, 56, 156
가파, 72, 196
다라, 55, 152
